Company Name,Industry,Symbol,Series,ISIN Code,mcURL
ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE117A01022
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE012A01025
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE949L01017
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE358A01014
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,EQ,INE423A01024,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN.NS,EQ,INE364U01010,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE742F01042
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,EQ,INE399L01023,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE399L01023
Adani Transmission Ltd.,Power,ADANITRANS.NS,EQ,INE931S01010,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE931S01010
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS,EQ,INE699H01024,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE699H01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=INE674K01013
